compound_emitted,percentile,time,forcing_agent,temperature_total,temperature_by_mechanism
Ammonia,p50,2025,Land use,-0.019,0.0
Ammonia,p95,2025,CO2,-0.014,0.0
Ammonia,p95,2025,CH4,-0.014,0.0
Ammonia,p95,2025,N2O,-0.014,0.0
Ammonia,p95,2025,CFC+HCFC+other,-0.014,0.0
Ammonia,p95,2025,HFC,-0.014,0.0
Ammonia,p95,2025,Ozone,-0.014,0.001
Ammonia,p95,2025,Strat H2O,-0.014,0.0
Ammonia,p95,2025,ARI,-0.014,-0.02
Ammonia,p95,2025,ACI,-0.014,0.0
Ammonia,p95,2025,LAPSI,-0.014,0.0
Ammonia,p95,2025,Land use,-0.014,0.0
