parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.83,-123.5180463861536,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.9,-133.5840971493688,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.1,406.5450668927641,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.17,283.2678732896119,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.33,163.3034087210725,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.5,97.56879259790006,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.67,50.03416169919623,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.83,7.7986550063226465,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.5000000000000004,0.9,-14.53656926386115,0.2400000000000004
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.1,770.0585642008518,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.17,574.6417360954044,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.33,384.18395832304367,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.5,280.0908389672445,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.67,205.09344392695624,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.83,138.88458239629145,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.6000000000000003,0.9,104.19247048956706,0.3400000000000005
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.1,1133.7661872673948,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.17,866.0196057115005,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.33,605.2178026688589,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.5,462.6368399313272,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.67,360.17279025667835,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.83,269.92375382209366,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.7000000000000006,0.9,222.7953509744713,0.4400000000000006
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.1,1497.5735635351216,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.17,1157.1191773961611,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.33,826.1717532200291,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.5,645.3572285892528,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.67,515.250992318533,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.83,400.9321145896519,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.8000000000000007,0.9,341.3890773397912,0.5400000000000007
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.1,1861.122524852608,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.17,1448.495208367448,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.33,1047.0862858783246,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.5,827.8696298447279,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.67,670.3436038637459,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.83,532.042989072799,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,1.9000000000000008,0.9,460.0608837601907,0.6400000000000008
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.1,2224.74086564039,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.17,1739.8175339221414,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.33,1268.1403659209732,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.5,1010.4750732482776,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.67,825.4991850911333,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.83,663.1081842754646,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.000000000000001,0.9,578.4967063778533,0.7400000000000009
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.1,2588.847109575834,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.17,2031.109395020236,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.33,1489.0552831644277,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.5,1192.9465110319534,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.67,980.3877410582472,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.83,794.0043795900438,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.100000000000001,0.9,697.1185640015606,0.840000000000001
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.1,2952.0467480304906,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.17,2322.675114218856,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.33,1709.9407932175209,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.5,1375.6322260271186,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.67,1135.6812952212451,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.83,925.0463628347386,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.200000000000001,0.9,815.7765411003645,0.9400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.1,3314.887527373033,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.17,2614.355712175794,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.33,1931.2634374916336,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.5,1558.1878096127698,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.67,1290.60860159327,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.83,1056.1291369457165,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.300000000000001,0.9,934.3979566849404,1.0400000000000011
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.1,3679.3918108147054,1.1400000000000012
