time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcings_p05,other_human_forcings_p17,other_human_forcings_p50,other_human_forcings_p83,other_human_forcings_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95
1886.5,1886,1887,-0.21473785,-0.187629054,-0.150123738,-0.112098008,-0.085796562,0.02075549,0.022435854,0.024514689,0.027125131,0.029961182,-0.018960759,-0.013166319,-0.007697786,-0.004086647,-0.002423177,0.008315064,0.012754807,0.016794381,0.019515727,0.020963468,-0.252344996,-0.217981699,-0.167856544,-0.120380614,-0.085570795,0.018981611,0.051448975,0.098764248,0.146846416,0.179880159
1887.5,1887,1888,-0.154517683,-0.132625707,-0.102721196,-0.076024986,-0.058122612,0.023421222,0.025324471,0.027673204,0.030616808,0.0338143,-0.020978285,-0.014537456,-0.008488607,-0.004491612,-0.002653093,0.009860421,0.014729048,0.019148485,0.022136511,0.023743408,-0.194725756,-0.163438534,-0.119274277,-0.078373673,-0.049587479,-0.103607195,-0.068278859,-0.023410713,0.01988292,0.04930689
1888.5,1888,1889,-0.10788902,-0.090549621,-0.06606628,-0.044455247,-0.03284648,0.026197969,0.028335737,0.030966415,0.034256916,0.037830343,-0.02483417,-0.017061605,-0.00993712,-0.005228948,-0.003071772,0.00977201,0.015683283,0.020995347,0.024516465,0.026370326,-0.15086101,-0.12178088,-0.081349321,-0.043345741,-0.016758296,-0.01501534,0.019195881,0.059172066,0.097080359,0.126324
1889.5,1889,1890,-0.068901756,-0.054808291,-0.036646476,-0.016479286,-0.008277273,0.029085936,0.03146759,0.034392904,0.038044628,0.042007841,-0.0284197,-0.01946988,-0.011347872,-0.005979407,-0.003511585,0.010040427,0.016894893,0.023013849,0.0270296,0.029130368,-0.114291685,-0.08631895,-0.049259771,-0.012717524,0.013695561,0.072082878,0.099076273,0.150788456,0.19545457,0.219794096
1890.5,1890,1891,-0.053254917,-0.041016869,-0.024214257,-0.008002526,0.001894468,0.032049045,0.034681369,0.037909798,0.04193302,0.046298297,-0.031404087,-0.021607582,-0.012663079,-0.006723121,-0.003964718,0.011004378,0.018476197,0.025210232,0.029655587,0.031995662,-0.098177123,-0.070920019,-0.035514785,0.000340415,0.025391215,-0.189129114,-0.164769881,-0.120208506,-0.070272629,-0.044949075
1891.5,1891,1892,-0.058521394,-0.047051797,-0.030914576,-0.014108526,-0.005847629,0.035071924,0.037958533,0.04149591,0.045898856,0.050674097,-0.033840783,-0.023647244,-0.014052024,-0.00760541,-0.004535921,0.01258313,0.020246401,0.027400145,0.032234881,0.034831014,-0.101373337,-0.074542484,-0.03965275,-0.004416745,0.019252177,-0.090476924,-0.053198367,-0.008266335,0.034380705,0.067977858
1892.5,1892,1893,-0.061707929,-0.051111965,-0.035966344,-0.018907287,-0.012130111,0.038169629,0.041316934,0.045170562,0.049963296,0.055158067,-0.034805037,-0.02482267,-0.014978155,-0.00829576,-0.005010755,0.015497126,0.023000319,0.030160778,0.035149828,0.03793674,-0.102409609,-0.075948104,-0.041476302,-0.006733667,0.016141398,-0.182026535,-0.156407073,-0.112714306,-0.073522566,-0.044941175
1893.5,1893,1894,-0.044326313,-0.035958846,-0.023730833,-0.00955068,-0.003724421,0.041296373,0.044704135,0.048875831,0.054062927,0.059683078,-0.036071596,-0.025928042,-0.015743093,-0.008777828,-0.005320162,0.018079216,0.025803036,0.033135973,0.038289045,0.041238002,-0.08520015,-0.059332323,-0.026538623,0.007625145,0.029591107,-0.198540226,-0.16080718,-0.118759036,-0.072041197,-0.041394856
1894.5,1894,1895,-0.017859131,-0.011385489,-0.003748362,0.009417575,0.016910838,0.044405814,0.048070684,0.052556489,0.058136207,0.064181157,-0.038940225,-0.027899488,-0.016907141,-0.009400762,-0.005689162,0.019530022,0.027723871,0.035608571,0.041179925,0.044351928,-0.059371617,-0.034204749,-0.002654418,0.031101699,0.054094202,-0.211198987,-0.17737675,-0.132684007,-0.088015146,-0.05148886
1895.5,1895,1896,0.000512127,0.004902593,0.013376009,0.025715636,0.034721949,0.047475307,0.051390904,0.056184726,0.062152069,0.068616704,-0.042385385,-0.030279742,-0.018341287,-0.010180772,-0.006148361,0.020317856,0.029185098,0.037781566,0.043849036,0.047279,-0.039569872,-0.015142766,0.016129483,0.049760181,0.073598988,-0.178499344,-0.153845914,-0.113512769,-0.075562754,-0.052054234
1896.5,1896,1897,0.009697626,0.014657868,0.023679335,0.03493971,0.044512269,0.05044829,0.05460682,0.059696786,0.066040233,0.072916062,-0.044488322,-0.032078249,-0.019604401,-0.011017272,-0.006700689,0.021911383,0.031113779,0.040062929,0.046443958,0.050103341,-0.026740646,-0.002667632,0.028223312,0.061611146,0.085262903,-0.019503995,0.003307244,0.040554062,0.083080449,0.107826285
1897.5,1897,1898,0.015269285,0.02060205,0.02960827,0.040048714,0.049247422,0.053324464,0.057717785,0.063095707,0.069805704,0.077079319,-0.0471343,-0.034190434,-0.021045923,-0.011934101,-0.007290765,0.022925568,0.032598901,0.04204978,0.048830248,0.052748368,-0.018504099,0.005396805,0.035769334,0.068801167,0.091990412,-0.022408862,0.009262621,0.048763048,0.089096248,0.123628195
1898.5,1898,1899,0.018798874,0.024611316,0.033701852,0.043720871,0.052279585,0.056207795,0.060837239,0.066504855,0.073583962,0.081253596,-0.050670733,-0.036819423,-0.022733827,-0.012934232,-0.007906966,0.023249899,0.033620453,0.043775542,0.051079494,0.0552927,-0.012460426,0.011318274,0.041219583,0.073917103,0.096716883,-0.255110414,-0.224036351,-0.187095225,-0.151817972,-0.120138011
1899.5,1899,1900,0.021129618,0.027395685,0.03676153,0.046687909,0.054818161,0.059212643,0.064091063,0.070062183,0.077522494,0.08560256,-0.055059508,-0.04017113,-0.024959248,-0.014320439,-0.008778872,0.022906778,0.034045908,0.045103548,0.053106124,0.057724245,-0.007838214,0.015767238,0.045365673,0.077610063,0.100292743,-0.121408567,-0.085314105,-0.048721675,-0.008562218,0.027610651
1900.5,1900,1901,0.022658497,0.029313005,0.039039442,0.049128549,0.057091286,0.062365081,0.067506529,0.07379701,0.081654526,0.090165399,-0.059889755,-0.043939263,-0.027518293,-0.015943996,-0.009809653,0.022293139,0.034216191,0.046280826,0.05508813,0.060181074,-0.004081157,0.019251816,0.048672516,0.080493407,0.103150599,0.004226314,0.031939374,0.069282819,0.112295913,0.139960619
1901.5,1901,1902,0.023581296,0.030536669,0.040646676,0.051068843,0.059029693,0.065586909,0.070997253,0.077615954,0.085881279,0.094833411,-0.063585495,-0.046956165,-0.029637727,-0.017323965,-0.010694629,0.022681804,0.035241864,0.048019107,0.05741661,0.062904112,-0.000406149,0.02265821,0.051926339,0.083433562,0.106086227,-0.070654169,-0.042778406,-0.00340321,0.038691127,0.072128
1902.5,1902,1903,0.015406303,0.0208396,0.029543323,0.03870447,0.045598261,0.06884241,0.074522443,0.081472844,0.090151712,0.099553109,-0.066560522,-0.049441234,-0.031423613,-0.018498976,-0.011447347,0.023653338,0.036818496,0.050154703,0.060006691,0.065822735,-0.007988356,0.014797707,0.042804159,0.073794584,0.095197807,-0.206023164,-0.176342706,-0.13474723,-0.094621951,-0.056483063
1903.5,1903,1904,-0.050138983,-0.036027074,-0.021110291,-0.011210477,-0.006672836,0.072175584,0.078131184,0.085419491,0.09452197,0.104382277,-0.069683284,-0.052112536,-0.033407174,-0.019829992,-0.012292082,0.024332701,0.038216267,0.052232394,0.06259256,0.068764657,-0.06242881,-0.038228633,-0.008471023,0.02337892,0.043208672,-0.251264963,-0.226482382,-0.172105126,-0.121696142,-0.093831882
1904.5,1904,1905,-0.097430283,-0.081140171,-0.060485866,-0.043229777,-0.032299224,0.075590372,0.081824593,0.089459125,0.098994837,0.109327011,-0.073675798,-0.055343338,-0.035698669,-0.021307421,-0.01322794,0.024638469,0.039207064,0.054032637,0.06505011,0.071643063,-0.103860465,-0.079005002,-0.044387477,-0.010755081,0.012222341,-0.279890509,-0.242520854,-0.201651707,-0.163413269,-0.131028636
